Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

Cód.	Cod. Gr. Hom.	Designação	DCI	Forma Farmac.	Gen.	Desc. Grupo Homogéneo	Laboratório	Posologia	PVP	Titular AIM	Classificação
2092393	GH0000	NUPERCAINAL PDA 1% 20 G	Cinchocaína	Pomada retal	NÃO	Não atribuido	 	 	5,95	Materfarma - Produtos Farmacêuticos, S.A.	NETT

2093193	GH0000	PARAFININA SOL OR 145 ML	Parafina líquida	Solução oral	NÃO	Não atribuido	 	 	7,90	Generis Farmacêutica, S.A.	NETT
Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

2097491	GH0000	BALSAMO ANALGESICO MEDICAL CR 40 G	Ácido salicílico + Mentol + Nicotinato de benzilo	Creme	NÃO	Não atribuido	Sociedade Farmacêutica Gestafarma, Lda	 	4,35	Sociedade Farmacêutica Gestafarma, Lda.	NETT

3830890	GH0000	AEROMAX NASAL AER NASAL 1 MG/G 22 G	Budesonida	Suspensão para pulverização nasal	NÃO	Não atribuido	 	Adultos e crianças > 6 anos: 2 aplicações em cada narina de manhã ou 1 aplicação 	12,69	Laboratório Medinfar - Produtos Farmacêuticos, S.A.	Éticos
2115889	GH0000	HYALART INJ SER 20 MG	Ácido hialurónico	Solução injetável	NÃO	Não atribuido	 	Adultos: 1 administração intra-articular 1x/semana 	38,57	Fidia Farmaceutici, S.p.A	Éticos
2120392	GH0000	MODINA COMP REV 30 MG X 60	Nimodipina	Comprimido revestido	NÃO	Não atribuido	 	Adultos: 1 comp. 8/8 h (durante 3 semanas)Via oral. Os comprimidos 	19,13	Tetrafarma - Produtos Farmacêuticos, Lda.	Éticos
2121093	GH0000	NIMODIPINA TECNILOR COMP REV 30 MG X 60	Nimodipina	Comprimido revestido	NÃO	Não atribuido	 	Posologia habitual: 1 comprimido, de 8/8h. No caso de surgir risco isquémico, 	18,31	Farma 1000 - Prod. Farmacêuticos, Lda.	Éticos
2125698	GH0031	HIPOTENSIL COMP  25 MG X 60	Captopril	Comprimido	NÃO	Captopril | A101 | Oral | 25 mg | [21-60] unidades	 	 	9,00	Laboratório Medinfar - Produtos Farmacêuticos, S.A.	Éticos

2125995	GH0034	HIPOTENSIL COMP  50 MG X 60	Captopril	Comprimido	NÃO	Captopril | A101 | Oral | 50 mg | [21-60] unidades	 	 	16,44	Laboratório Medinfar - Produtos Farmacêuticos, S.A.	Éticos

2127389	GH0000	FRAKIDEX PDA OFT 5 G	Dexametasona + Framicetina	Pomada oftálmica	NÃO	Não atribuido	 	 	1,58	Bausch & Lomb, S.A. (Sucursal Portugal)	Éticos

2127587	GH0000	FETRIVAL AMP BEB 40 MG X 20	Proteínosuccinilato de ferro	Solução oral	NÃO	Não atribuido	 	Adultos: 1 ou 2 amp. (equivalente a 40-80 mg Fe§3+) por dia, em 2 	12,06	Almirall - Produtos Farmacêuticos, Lda.	Éticos
2132181	GH0000	DIFLUCAN SUSP OR 50 MG/5 ML 35 ML	Fluconazol	Pó para suspensão oral	NÃO	Não atribuido	 	 	12,98	Laboratórios Pfizer, Lda.	Éticos

2132280	GH0000	DIFLUCAN SUSP OR 200 MG/5 ML 35 ML	Fluconazol	Pó para suspensão oral	NÃO	Não atribuido	 	Adultos e idosos:  Tratamento da meningite criptocócica: 	57,96	Laboratórios Pfizer, Lda.	Éticos
2133387	GH0379	PROSCAR COMP 5 MG X 56	Finasterida	Comprimido revestido por película	NÃO	Finasterida | A101 | Oral | 5 mg | [21-60] unidades	 	 	19,00	Organon Portugal, Sociedade Unipessoal, Lda.	Éticos

2134690	GH0060	VOLTAREN RAPID COMP REV 50 MG X 60	Diclofenac	Comprimido revestido	NÃO	Diclofenac | A101 | Oral | 50 mg | [21-60] unidades	 	Adultos: dose inicial de 100 a 150 mg/dia, casos ligeiros ou de tratamento 	9,60	Novartis Farma - Produtos Farmacêuticos, S.A.	Éticos
2134989	GH0368	LAMISIL COMP 250 MG X 14	Terbinafina	Comprimido	NÃO	Terbinafina | A101 | Oral | 250 mg | [1-20] unidades	 	Adultos e idosos: 250 mg/dia. A duração do tratamento varia de acordo 	12,29	Novartis Farma - Produtos Farmacêuticos, S.A.	Éticos
2135085	GH0369	LAMISIL COMP 250 MG X 28	Terbinafina	Comprimido	NÃO	Terbinafina | A101 | Oral | 250 mg | [21-60] unidades	 	Adultos e idosos: 250 mg/dia. A duração do tratamento varia de acordo 	23,07	Novartis Farma - Produtos Farmacêuticos, S.A.	Éticos
2135184	GH0000	LAMISIL CR 1% 15 G	Terbinafina	Creme	NÃO	Não atribuido	 	Adulto, idoso e criança (> 12 anos) - Tinea pedis, corporis e cruris: 1 aplicação 	7,80	GlaxoSmithKline Consumer Healthcare Produtos para a Saúde e Higiene Lda.	Éticos
2137297	GH0000	PANDERMIL CR 1% 30 G	Hidrocortisona	Creme	NÃO	Não atribuido	Laboratórios Edol - Produtos Farmacêuticos, SA	Adultos: aplicar 2 ou mais x/dia nas zonas afectadas 	6,60	Laboratório Edol - Produtos Farmacêuticos, S.A.	Éticos
2138592	GH0000	MENTOCAINA R PST X 20	Tirotricina + Benzocaína	Pastilha	NÃO	Não atribuido	D.L.A.FARMACEUTICA,SA	Adultos: 1 pastilha/hora (máximo 10 pastilhas/dia); Crianças > 6 anos: 3-5 	6,15	Laboratórios Azevedos - Indústria Farmacêutica, S.A.	NETT
2140085	GH0000	KLEAN PREP CART SUSP OR X 4	Macrogol e outras associações	Pó para solução oral	NÃO	Não atribuido	 	Adultos: dissolver o conteúdo da saq. em 1 L de água morna e tomar 200-250 ml 	14,95	Helsinn Birex Pharmaceuticals, Ltd.	Éticos
2146082	GH0000	LACIPIL COMP 4 MG X 56	Lacidipina	Comprimido revestido por película	NÃO	Não atribuido	 	Adultos: 1 comp. 1 x/dia, sempre à mesma hora, de preferência de manhãVia 	16,13	Glaxo Wellcome Farmacêutica, Lda.	Éticos
2146983	GH0000	KLACID PEDIATRICO SUSP OR 125 MG/5 ML 100ML	Claritromicina	Granulado para suspensão oral	NÃO	Não atribuido	 	Crianças 6 meses - 12 anos: 7,5 mg/kg, 2x/dia, durante 5 - 10 dias dependendo 	5,99	BGP Products, Unipessoal Lda.	Éticos
2149391	GH0075	FLUOXETINA NODEPE CAPS 20 MG X 60	Fluoxetina	Cápsula	SIM	Fluoxetina | A101 | Oral | 20 mg | [21-60] unidades	 	Adulto e idoso: Episódio depressivo major - 1-3 cáps./dia. Perturbação 	4,50	Aristo Pharma Iberia, SL	Éticos
2150084	GH0000	GLUCAGEN INJ SER 1 MG/ML	Glucagom	Pó e solvente para solução injetável	NÃO	Não atribuido	 	De acordo com as necessidades individuais 	19,66	   Novo Nordisk - Comércio de Produtos Farmacêuticos, Lda.	Éticos
2150886	GH0000	ADVANTAN CR 0,1% 30 G	Aceponato de metilprednisolona	Creme	NÃO	Não atribuido	 	Aplicação local 1 vez por dia, em camada fina.  	5,41	Leo Pharma A/S	Éticos
2151082	GH0000	ADVANTAN PDA 0,1% 30 G	Aceponato de metilprednisolona	Pomada	NÃO	Não atribuido	 	Aplicação local 1 vez por dia, em camada fina.  	5,51	Leo Pharma A/S	Éticos
2152494	GH0000	REMISIL GEL 0,5% 100 G	Piroxicam	Gel	NÃO	Não atribuido	 	Adultos e Idosos: aplicar 1 g na área afectada 3-4x/dia.Uso exclusivo externo. 	13,80	Alfasigma Portugal, Lda	NETT
2154086	GH0000	FRAXIPARINA INJ 0,6 ML X 2	Nadroparina cálcica	Solução injetável	NÃO	Não atribuido	 	SC – Adultos: de acordo com indicação terapêutica 	10,78	Aspen Pharma Trading Ltd.	Éticos
2159184	GH0000	ALLERGODIL AER NASAL 0,1% 10 ML	Azelastina	Solução para pulverização nasal	NÃO	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	Adultos e crianças > 6 anos: uma aplicação em cada narina 2 x/dia. 	10,95	BGP Products, Unipessoal Lda.	NETT
2164697	GH0000	CALCIORAL COMP 500 MG X 20	Carbonato de cálcio	Comprimido para mastigar	NÃO	Não atribuido	 	As doses devem ser individualizadas de forma a manter os níveis de cálcio 	2,97	Sandoz Farmacêutica, Lda.	Éticos
2173599	GH0000	REUXEN GEL 10% 100 G	Naproxeno	Gel	NÃO	Não atribuido	 	Aplicação local com massagem ligeira 2 a 6 x/dia 	9,43	Tecnifar - Indústria Técnica Farmacêutica, S.A.	Éticos
6569186	GH0000	NEUTROGENA SH T GEL FT 125 ML	 	 	NÃO	Não atribuido	Johnson & Johnson, Lda	 	13,65	JOHNSON E JOHNSON 	 

2175594	GH0120	OMEPRAZOL PROCLOR CAPS 20 MG X 60	Omeprazol	Cápsula gastrorresistente	SIM	Omeprazol | A103 | Oral | 20 mg | [21-60] unidades	 	Adultos: dose usual é de 20 mg/dia	8,93	Pentafarma - Sociedade Técnico-Medicinal, S.A.	Éticos

2175792	GH0075	FLUOXETINA TUNELUZ CAPS 20 MG X 60	Fluoxetina	Cápsula	SIM	Fluoxetina | A101 | Oral | 20 mg | [21-60] unidades	 	Adulto e idoso: Episódio depressivo major - 1-3 cáps./dia. Perturbação 	10,99	Baldacci - Portugal, S.A.	Éticos
2175883	GH0000	METRODERME GEL 0,75% 30 G	Metronidazol	Gel	NÃO	Não atribuido	 	Adulto e idoso - Aplicar 2 vezes ao dia (de manhã e à noite). Duração habitual 	5,71	Laboratorios Galderma S.A. - Sucursal em Portugal	Éticos
2176485	GH0204	ZESTORETIC COMP 20+12,5 MG X 56	Lisinopril + Hidroclorotiazida	Comprimido	NÃO	Lisinopril + Hidroclorotiazida | A101 | Oral | 20 mg + 12.5 mg | [21-60] unidades	 	Adulto e idoso - 1 comp., de 24/24h (se sem efeito pretendido, pode aumentar, 	13,32	Atnahs Pharma Netherlands B.V.	Éticos
Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

2177087	GH0000	GRUMORPH CAPS RET 30 MG X 30	Morfina	Cápsula de libertação prolongada	NÃO	Não atribuido	 	 	11,90	Ethypharm, SA	Éticos

2177384	GH0000	PENTASA SUP 1 G X 10	Messalazina	Supositório	NÃO	Não atribuido	 	Adulto: 1 sup. 1 a 2 x/dia	16,20	Ferring S.A.U.	Éticos

2177780	GH0000	LEVOTUSS GTS OR 6% 30 ML	Levodropropizina	Gotas orais, solução	NÃO	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	Adultos:  20 gotas até 3 x/dia; Crianças: 1 gota /kg/dia, repartidas em 3 tomas 	9,95	Dompé Farmaceutici, S.p.A.	NETT
2178986	GH0000	PENTASA COMP RET 500 MG X 60	Messalazina	Comprimido de libertação prolongada	NÃO	Não atribuido	 	Adultos – Colite ulcerosa: durante a fase aguda administrar até ao máximo de 4 	21,58	Ferring S.A.U.	Éticos
2179182	GH0000	OXYLIN COLIRIO 2,5% 10 ML	Oximetazolina	Colírio, solução	NÃO	Não atribuido	 	 	4,25	Allergan, S.A.U.	NETT

2181485	GH0612	GOPTEN CAPS 2 MG X 56	Trandolapril	Cápsula	NÃO	Trandolapril | A101 | Oral | 2 mg | [21-60] unidades	 	Adulto: Hipertensão - dose inicial de 0,5-1 mg, de 24/24h (máx. 2 mg/dia); a 	10,70	BGP Products, Unipessoal Lda.	Éticos
2184893	GH0000	BILOBAN COMP REV 40 MG X 20	Ginkgo biloba	Comprimido revestido	NÃO	Não atribuido	 	Adultos – Comp.: 1 comp. 3 x/dia ou 3 comp. 2 x/dia.Via oral. Deve ser tomado 	3,52	Laboratórios Atral, S.A.	Éticos
2184992	GH0000	BILOBAN COMP REV 40 MG X 60	Ginkgo biloba	Comprimido revestido	NÃO	Não atribuido	AtralCipan	Adultos – Comp.: 1 comp. 3 x/dia ou 3 comp. 2 x/dia.Via oral. Deve ser tomado 	9,57	Laboratórios Atral, S.A.	Éticos
2191880	GH0000	AGIOCUR GRN 250 G	Ispagula (tegumento) + Ispagula (semente)	Granulado	NÃO	Não atribuido	 	 	9,15	BGP Products, Unipessoal Lda.	NETT

2192888	GH0510	FOSITEN COMP 20 MG X 60	Fosinopril	Comprimido	NÃO	Fosinopril | A101 | Oral | 20 mg | [21-60] unidades	 	Adultos: 10 a 40 mg 1 x/diaVia oral (dose única diária). Tomar sempre, 	30,09	Bausch Health (Ireland) Limited	Éticos
2193084	GH0000	LOMIR SRO CAPS RET 5 MG X 30	Isradipina	Cápsula de libertação prolongada	NÃO	Não atribuido	ESGOTADOS	Adultos: 1 cáps./dia, se não for eficaz após 4 semanas, recomenda-se a adição 	12,36	Daiichi Sankyo Portugal, Unipessoal Lda.	Éticos
2195683	GH0000	ACUPRIL COMP REV 20 MG X 56	Quinapril	Comprimido revestido por película	NÃO	Não atribuido	 	Adultos HTA - Monoterapia: dose inicial de 10 ou 	9,97	Pfizer	Éticos
2195782	GH0000	FLUIMUCIL COMP EF 600 MG X 20	Acetilcisteína	Comprimido efervescente	NÃO	Não atribuido	 	Adultos, Idosos e Crianças >12 anos: 1 comp/dia de preferência à noite, Dmáx 	7,90	Zambon - Produtos Farmacêuticos, Lda.	NETT
2195980	GH0000	FLUIMUCIL CART PO 200 MG X 20	Acetilcisteína	Granulado para solução oral	NÃO	Não atribuido	 	Adultos e crianças com mais de 12 anos: 1 Saq. 3 x/dia. Dmáx diária recomendada 	6,50	Zambon - Produtos Farmacêuticos, Lda.	NETT
2196087	GH0000	FLUIMUCIL INJ 300 MG/3 ML X 5	Acetilcisteína	Solução injetável	NÃO	Não atribuido	 	Fluimucil 600 – Adultos e crianças > 12 anos: 1 comp./dia. Fluimucil 4% – 	4,56	Zambon - Produtos Farmacêuticos, Lda.	Éticos
2197598	GH0063	ENALAPRIL HTZ PENTAFARMA COMP 20+12,5 MG X 60	Enalapril + Hidroclorotiazida	Comprimido	SIM	Enalapril + Hidroclorotiazida | A101 | Oral | 20 mg + 12.5 mg | [21-60] unidades	 	Adultos – HTA: 1 comp./dia, se necessário aumentar para 2 comp./diaVia 	10,95	Pentafarma - Sociedade Técnico-Medicinal, S.A.	Éticos
2200996	GH0000	COLTRAMYL COMP 4 MG X 20	Tiocolquicosido	Comprimido	NÃO	Não atribuido	 	Adulto e adolescente (> 16 anos) - Dose recomendada e máx.: 2 comp., de 	5,51	Korangi - Produtos Farmacêuticos, Lda.	Éticos
2201093	GH0000	COLTRAMYL COMP 4 MG X 60	Tiocolquicosido	Comprimido	NÃO	Não atribuido	 	 	16,33	Korangi - Produtos Farmacêuticos, Lda.	Éticos

2201184	GH0000	COLTRAMYL INJ 4 MG/2 ML X 6	Tiocolquicosido	Solução injetável	NÃO	Não atribuido	 	Adulto e adolescente (> 16 anos) - Dose recomendada e máx. 4 mg, de 12/12h 	4,39	Korangi - Produtos Farmacêuticos, Lda.	Éticos
2203495	GH0000	CEFADROXIL MYLAN COMP 1 G X 16	Cefadroxil	Comprimido	NÃO	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	 	10,91	Mylan, Lda.	Éticos

3506888	GH0844	AERIUS COMP REV 5 MG X 20	Desloratadina	Comprimido revestido por película	NÃO	Desloratadina | A101 | Oral | 5 mg | [1-20] unidades	 	Adultos e adolescentes com idade = 12 anos (a experiência em adolescentes 12 - 	5,23	N.V. Organon	Éticos
2213783	GH0000	DRILL PST X 24	Tetracaína + Cloro-hexidina	Pastilha	NÃO	Não atribuido	Penso Farma, Lda	Adultos: 4 pastilhas/dia. Crianças 6 a 15 anos: 2 a 3 pastilhas/dia 	8,25	Pierre Fabre Dermo-Cosmétique Portugal, Lda.	NETT
2215580	GH0000	PIRACETAM RATIOPHARM COMP REV 1,2 G X 60	Piracetam	Comprimido revestido	SIM	Não atribuido	 	Adulto - 2,4-4,8 g (dose diária recomendada), dividir em 2-3 admin. IR - 	8,21	Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.	Éticos
2219590	GH0075	DIGASSIM CAPS 20 MG X 60	Fluoxetina	Cápsula	NÃO	Fluoxetina | A101 | Oral | 20 mg | [21-60] unidades	 	Adulto e idoso: Episódio depressivo major - 1-3 cáps./dia. Perturbação 	13,86	Faes Farma Portugal, S.A.	Éticos
2219681	GH0000	ISOTREX GEL 0,05% 30 G	Isotretinoína	Gel	NÃO	Não atribuido	 	 	10,52	Laboratórios Farmacêuticos Stiefel (Portugal), Lda.	Éticos

2219780	GH0000	CUTIVATE CR 0,05% 30 G	Fluticasona	Creme	NÃO	Não atribuido	Glaxo Smithkline Consumer Healthcare, Lda.	Aplicação tópica, 1-2 x/dia, sobre as áreas de pele afectada 	4,82	GSK	Éticos
2219889	GH0000	CUTIVATE PDA 0,005% 30 G	Fluticasona	Pomada	NÃO	Não atribuido	 	 	4,81	GSK	Éticos

2223485	GH0000	VOLTAREN COLIRIO 0,1% 5 ML	Diclofenac	Colírio, solução	NÃO	Não atribuido	 	Adultos Alívio da dor ocular e fotofobia; inflamação pós-traumática: 1 gota a cada 	4,55	Laboratoires Théa	Éticos
2223881	GH0000	DILATOL SRO CAPS RET 5 MG X 30	Isradipina	Cápsula de libertação prolongada	NÃO	Não atribuido	 	1 cáps. 1 vez/diaVia oral. As cápsulas devem ser engolidas inteiras. 	12,36	Recordati	Éticos
2223980	GH0617	FLUTAIDE AER NASAL 50 MCG/D 120 D	Fluticasona	Suspensão para pulverização nasal	NÃO	Fluticasona | A501 | Nasal | 50 µg/dose | [101-200] doses	Glaxo Smithkline Consumer Healthcare, Lda.	Adultos e crianças > 12 anos: 2 pulverizações em cada narina, 1 x/dia, de 	9,01	GlaxoSmithkline Produtos Farmacêuticos, Lda.	Éticos
2224384	GH0000	FLIXOTAIDE INALAD INAL OR 50 MCG/D 120 D	Fluticasona	Suspensão pressurizada para inalação	NÃO	Não atribuido	 	Adultos e crianças >16 anos – Inalador e Diskus - 100-1000 µg 2 x/dia (de acordo 	9,97	Glaxo Wellcome Farmacêutica, Lda.	Éticos
2224582	GH0000	FLIXOTAIDE INALAD INAL OR 125 MCG/D 120 D	Fluticasona	Suspensão pressurizada para inalação	NÃO	Não atribuido	 	Adultos e crianças >16 anos – Inalador e Diskus - 100-1000 µg 2 x/dia (de acordo 	18,11	Glaxo Wellcome Farmacêutica, Lda.	Éticos
2224681	GH0000	FLIXOTAIDE INALAD INAL OR 250 MCG/D 60 D	Fluticasona	Suspensão pressurizada para inalação	NÃO	Não atribuido	 	Adultos e crianças >16 anos – Inalador e Diskus - 100-1000 µg 2 x/dia (de acordo 	16,00	Glaxo Wellcome Farmacêutica, Lda.	Éticos
2226280	GH0000	CAVERJECT INJ 10 MCG/ML	Alprostadilo	Pó e solvente para solução injetável	NÃO	Não atribuido	 	Adultos: dose inicial de 1,25 a 2,5 µg por administração, a dose pode ser 	8,96	Laboratórios Pfizer, Lda.	Éticos
2226389	GH0000	CAVERJECT INJ 20 MCG/ML	Alprostadilo	Pó e solvente para solução injetável	NÃO	Não atribuido	 	 	12,46	Laboratórios Pfizer, Lda.	Éticos
Listagem de Produtos

